Kategorie: Alle Kategorien

Tag,corona: (Bremen)
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,<1
2020-01-06,0
2020-01-07,0
2020-01-08,<1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,<1
2020-01-14,0
2020-01-15,0
2020-01-16,1
2020-01-17,0
2020-01-18,1
2020-01-19,0
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,3
2020-01-28,6
2020-01-29,3
2020-01-30,3
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,1
2020-02-05,2
2020-02-06,2
2020-02-07,1
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,2
2020-02-12,1
2020-02-13,2
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,3
2020-02-24,5
2020-02-25,7
2020-02-26,12
2020-02-27,18
2020-02-28,17
2020-02-29,20
2020-03-01,25
2020-03-02,18
2020-03-03,18
2020-03-04,15
2020-03-05,17
2020-03-06,19
2020-03-07,16
2020-03-08,16
2020-03-09,26
2020-03-10,34
2020-03-11,48
2020-03-12,78
2020-03-13,94
2020-03-14,76
2020-03-15,83
2020-03-16,100
2020-03-17,83
2020-03-18,79
2020-03-19,77
2020-03-20,77
2020-03-21,76
2020-03-22,84
2020-03-23,64
2020-03-24,59
2020-03-25,53
2020-03-26,54
2020-03-27,56
2020-03-28,48
2020-03-29,47
2020-03-30,53
2020-03-31,43
2020-04-01,44
2020-04-02,41
2020-04-03,37
2020-04-04,40
2020-04-05,42
2020-04-06,39
2020-04-07,38
2020-04-08,36
2020-04-09,32
2020-04-10,33
2020-04-11,30
2020-04-12,31
2020-04-13,35
2020-04-14,33
2020-04-15,52
2020-04-16,38
2020-04-17,32
2020-04-18,31
2020-04-19,31
2020-04-20,31
2020-04-21,25
2020-04-22,31
2020-04-23,30
2020-04-24,28
2020-04-25,25
2020-04-26,29
2020-04-27,28
2020-04-28,23
2020-04-29,25
2020-04-30,30
2020-05-01,25
2020-05-02,22
2020-05-03,27
2020-05-04,29
2020-05-05,33
2020-05-06,43
2020-05-07,34
2020-05-08,28
2020-05-09,26
2020-05-10,28
2020-05-11,34
2020-05-12,30
2020-05-13,31
2020-05-14,27
2020-05-15,24
2020-05-16,19
2020-05-17,19
2020-05-18,23
2020-05-19,24
2020-05-20,21
2020-05-21,19
2020-05-22,16
2020-05-23,21
2020-05-24,18
2020-05-25,21
2020-05-26,23
2020-05-27,22
2020-05-28,22
2020-05-29,18
2020-05-30,16
2020-05-31,18
2020-06-01,18
2020-06-02,20
2020-06-03,18
2020-06-04,20
2020-06-05,17
2020-06-06,17
2020-06-07,15
2020-06-08,19
2020-06-09,16
2020-06-10,20
2020-06-11,18
2020-06-12,19
2020-06-13,15
2020-06-14,14
2020-06-15,22
2020-06-16,28
2020-06-17,22
2020-06-18,20
2020-06-19,17
2020-06-20,16
2020-06-21,15
2020-06-22,15
2020-06-23,18
2020-06-24,19
2020-06-25,19
2020-06-26,17
2020-06-27,13
2020-06-28,13
2020-06-29,14
2020-06-30,15
2020-07-01,15
2020-07-02,15
2020-07-03,13
2020-07-04,13
2020-07-05,14
2020-07-06,17
2020-07-07,15
2020-07-08,13
