Kategorie: Alle Kategorien

Tag,corona: (Brandenburg)
2020-01-01,0
2020-01-02,0
2020-01-03,<1
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,<1
2020-01-13,<1
2020-01-14,0
2020-01-15,<1
2020-01-16,<1
2020-01-17,0
2020-01-18,<1
2020-01-19,0
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,2
2020-01-30,4
2020-01-31,3
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,1
2020-02-06,2
2020-02-07,1
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,<1
2020-02-21,1
2020-02-22,1
2020-02-23,3
2020-02-24,6
2020-02-25,7
2020-02-26,13
2020-02-27,17
2020-02-28,20
2020-02-29,15
2020-03-01,15
2020-03-02,22
2020-03-03,25
2020-03-04,20
2020-03-05,20
2020-03-06,17
2020-03-07,15
2020-03-08,21
2020-03-09,32
2020-03-10,34
2020-03-11,47
2020-03-12,69
2020-03-13,100
2020-03-14,86
2020-03-15,90
2020-03-16,91
2020-03-17,87
2020-03-18,79
2020-03-19,79
2020-03-20,78
2020-03-21,82
2020-03-22,89
2020-03-23,68
2020-03-24,62
2020-03-25,62
2020-03-26,62
2020-03-27,60
2020-03-28,59
2020-03-29,54
2020-03-30,54
2020-03-31,49
2020-04-01,52
2020-04-02,49
2020-04-03,46
2020-04-04,43
2020-04-05,45
2020-04-06,45
2020-04-07,42
2020-04-08,38
2020-04-09,39
2020-04-10,33
2020-04-11,36
2020-04-12,35
2020-04-13,35
2020-04-14,36
2020-04-15,58
2020-04-16,44
2020-04-17,39
2020-04-18,33
2020-04-19,33
2020-04-20,32
2020-04-21,34
2020-04-22,33
2020-04-23,32
2020-04-24,31
2020-04-25,27
2020-04-26,30
2020-04-27,31
2020-04-28,32
2020-04-29,30
2020-04-30,29
2020-05-01,27
2020-05-02,24
2020-05-03,26
2020-05-04,27
2020-05-05,29
2020-05-06,43
2020-05-07,34
2020-05-08,31
2020-05-09,27
2020-05-10,29
2020-05-11,27
2020-05-12,28
2020-05-13,26
2020-05-14,23
2020-05-15,23
2020-05-16,20
2020-05-17,21
2020-05-18,23
2020-05-19,20
2020-05-20,22
2020-05-21,20
2020-05-22,19
2020-05-23,19
2020-05-24,19
2020-05-25,19
2020-05-26,23
2020-05-27,20
2020-05-28,18
2020-05-29,16
2020-05-30,14
2020-05-31,16
2020-06-01,16
2020-06-02,16
2020-06-03,16
2020-06-04,19
2020-06-05,16
2020-06-06,12
2020-06-07,14
2020-06-08,14
2020-06-09,16
2020-06-10,17
2020-06-11,16
2020-06-12,17
2020-06-13,13
2020-06-14,14
2020-06-15,18
2020-06-16,24
2020-06-17,19
2020-06-18,16
2020-06-19,16
2020-06-20,16
2020-06-21,16
2020-06-22,17
2020-06-23,18
2020-06-24,16
2020-06-25,16
2020-06-26,14
2020-06-27,14
2020-06-28,13
2020-06-29,13
2020-06-30,13
2020-07-01,13
2020-07-02,11
2020-07-03,11
2020-07-04,12
2020-07-05,15
2020-07-06,13
2020-07-07,11
2020-07-08,13
