Kategorie: Alle Kategorien

Tag,corona: (Niedersachsen)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,0
2020-01-07,<1
2020-01-08,0
2020-01-09,<1
2020-01-10,<1
2020-01-11,0
2020-01-12,<1
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,3
2020-01-30,3
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,2
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,3
2020-02-24,5
2020-02-25,7
2020-02-26,15
2020-02-27,18
2020-02-28,22
2020-02-29,21
2020-03-01,20
2020-03-02,20
2020-03-03,19
2020-03-04,20
2020-03-05,24
2020-03-06,22
2020-03-07,17
2020-03-08,22
2020-03-09,27
2020-03-10,36
2020-03-11,50
2020-03-12,85
2020-03-13,97
2020-03-14,91
2020-03-15,96
2020-03-16,100
2020-03-17,91
2020-03-18,89
2020-03-19,84
2020-03-20,87
2020-03-21,85
2020-03-22,94
2020-03-23,70
2020-03-24,64
2020-03-25,60
2020-03-26,57
2020-03-27,57
2020-03-28,59
2020-03-29,56
2020-03-30,53
2020-03-31,50
2020-04-01,50
2020-04-02,46
2020-04-03,48
2020-04-04,50
2020-04-05,48
2020-04-06,44
2020-04-07,41
2020-04-08,42
2020-04-09,38
2020-04-10,37
2020-04-11,37
2020-04-12,35
2020-04-13,38
2020-04-14,37
2020-04-15,66
2020-04-16,45
2020-04-17,37
2020-04-18,35
2020-04-19,35
2020-04-20,33
2020-04-21,31
2020-04-22,32
2020-04-23,31
2020-04-24,31
2020-04-25,30
2020-04-26,29
2020-04-27,28
2020-04-28,30
2020-04-29,30
2020-04-30,31
2020-05-01,28
2020-05-02,27
2020-05-03,29
2020-05-04,34
2020-05-05,30
2020-05-06,43
2020-05-07,34
2020-05-08,29
2020-05-09,30
2020-05-10,29
2020-05-11,30
2020-05-12,27
2020-05-13,26
2020-05-14,24
2020-05-15,24
2020-05-16,23
2020-05-17,25
2020-05-18,25
2020-05-19,24
2020-05-20,24
2020-05-21,22
2020-05-22,22
2020-05-23,24
2020-05-24,23
2020-05-25,25
2020-05-26,23
2020-05-27,22
2020-05-28,22
2020-05-29,20
2020-05-30,20
2020-05-31,21
2020-06-01,21
2020-06-02,23
2020-06-03,22
2020-06-04,23
2020-06-05,21
2020-06-06,18
2020-06-07,21
2020-06-08,22
2020-06-09,20
2020-06-10,20
2020-06-11,18
2020-06-12,17
2020-06-13,15
2020-06-14,17
2020-06-15,21
2020-06-16,28
2020-06-17,25
2020-06-18,22
2020-06-19,22
2020-06-20,20
2020-06-21,20
2020-06-22,21
2020-06-23,21
2020-06-24,22
2020-06-25,21
2020-06-26,19
2020-06-27,16
2020-06-28,16
2020-06-29,17
2020-06-30,17
2020-07-01,16
2020-07-02,15
2020-07-03,16
2020-07-04,17
2020-07-05,16
2020-07-06,17
2020-07-07,16
2020-07-08,15
