Kategorie: Alle Kategorien

Woche,corona: (Bremen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,4
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,14
2020-03-01,23
2020-03-08,66
2020-03-15,100
2020-03-22,72
2020-03-29,56
2020-04-05,45
2020-04-12,44
2020-04-19,36
2020-04-26,33
2020-05-03,38
2020-05-10,34
2020-05-17,25
2020-05-24,24
2020-05-31,24
2020-06-07,22
2020-06-14,24
2020-06-21,21
2020-06-28,18
2020-07-05,18
2020-07-12,18
2020-07-19,17
2020-07-26,20
2020-08-02,18
2020-08-09,19
2020-08-16,22
2020-08-23,19
2020-08-30,17
2020-09-06,15
2020-09-13,16
2020-09-20,19
2020-09-27,24
2020-10-04,44
2020-10-11,45
2020-10-18,46
2020-10-25,52
2020-11-01,31
2020-11-08,30
2020-11-15,28
2020-11-22,27
2020-11-29,21
2020-12-06,33
2020-12-13,38
2020-12-20,28
2020-12-27,24
2021-01-03,36
2021-01-10,30
2021-01-17,36
2021-01-24,26
