Kategorie: Alle Kategorien

Tag,corona: (Sachsen)
2020-01-01,0
2020-01-02,0
2020-01-03,<1
2020-01-04,0
2020-01-05,0
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,<1
2020-01-13,<1
2020-01-14,0
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,<1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,2
2020-01-30,3
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,1
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,4
2020-02-24,5
2020-02-25,8
2020-02-26,12
2020-02-27,16
2020-02-28,18
2020-02-29,16
2020-03-01,12
2020-03-02,19
2020-03-03,20
2020-03-04,17
2020-03-05,17
2020-03-06,20
2020-03-07,16
2020-03-08,21
2020-03-09,27
2020-03-10,33
2020-03-11,41
2020-03-12,71
2020-03-13,100
2020-03-14,88
2020-03-15,89
2020-03-16,94
2020-03-17,90
2020-03-18,86
2020-03-19,83
2020-03-20,89
2020-03-21,85
2020-03-22,90
2020-03-23,76
2020-03-24,64
2020-03-25,65
2020-03-26,62
2020-03-27,60
2020-03-28,60
2020-03-29,54
2020-03-30,50
2020-03-31,51
2020-04-01,52
2020-04-02,50
2020-04-03,43
2020-04-04,45
2020-04-05,47
2020-04-06,45
2020-04-07,42
2020-04-08,41
2020-04-09,38
2020-04-10,36
2020-04-11,37
2020-04-12,35
2020-04-13,36
2020-04-14,38
2020-04-15,67
2020-04-16,47
2020-04-17,46
2020-04-18,38
2020-04-19,36
2020-04-20,34
2020-04-21,33
2020-04-22,34
2020-04-23,34
2020-04-24,30
2020-04-25,29
2020-04-26,31
2020-04-27,30
2020-04-28,32
2020-04-29,34
2020-04-30,34
2020-05-01,30
2020-05-02,26
2020-05-03,31
2020-05-04,31
2020-05-05,28
2020-05-06,43
2020-05-07,39
2020-05-08,33
2020-05-09,29
2020-05-10,28
2020-05-11,28
2020-05-12,31
2020-05-13,26
2020-05-14,27
2020-05-15,23
2020-05-16,22
2020-05-17,23
2020-05-18,22
2020-05-19,20
2020-05-20,21
2020-05-21,22
2020-05-22,18
2020-05-23,17
2020-05-24,17
2020-05-25,21
2020-05-26,19
2020-05-27,19
2020-05-28,17
2020-05-29,16
2020-05-30,16
2020-05-31,16
2020-06-01,15
2020-06-02,18
2020-06-03,22
2020-06-04,20
2020-06-05,16
2020-06-06,15
2020-06-07,15
2020-06-08,16
2020-06-09,15
2020-06-10,15
2020-06-11,14
2020-06-12,15
2020-06-13,13
2020-06-14,13
2020-06-15,17
2020-06-16,22
2020-06-17,18
2020-06-18,18
2020-06-19,17
2020-06-20,14
2020-06-21,16
2020-06-22,18
2020-06-23,18
2020-06-24,17
2020-06-25,16
2020-06-26,15
2020-06-27,13
2020-06-28,13
2020-06-29,16
2020-06-30,14
2020-07-01,12
2020-07-02,11
2020-07-03,13
2020-07-04,12
2020-07-05,12
2020-07-06,13
2020-07-07,14
2020-07-08,14
