Kategorie: Alle Kategorien

Tag,corona: (Sachsen-Anhalt)
2020-01-01,<1
2020-01-02,<1
2020-01-03,0
2020-01-04,0
2020-01-05,<1
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,<1
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,3
2020-01-30,2
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,<1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,4
2020-02-24,4
2020-02-25,7
2020-02-26,11
2020-02-27,17
2020-02-28,20
2020-02-29,13
2020-03-01,15
2020-03-02,18
2020-03-03,22
2020-03-04,21
2020-03-05,27
2020-03-06,22
2020-03-07,20
2020-03-08,26
2020-03-09,26
2020-03-10,51
2020-03-11,50
2020-03-12,82
2020-03-13,100
2020-03-14,78
2020-03-15,89
2020-03-16,90
2020-03-17,89
2020-03-18,81
2020-03-19,88
2020-03-20,87
2020-03-21,87
2020-03-22,96
2020-03-23,70
2020-03-24,67
2020-03-25,59
2020-03-26,66
2020-03-27,64
2020-03-28,64
2020-03-29,58
2020-03-30,58
2020-03-31,55
2020-04-01,54
2020-04-02,56
2020-04-03,48
2020-04-04,42
2020-04-05,50
2020-04-06,44
2020-04-07,44
2020-04-08,45
2020-04-09,39
2020-04-10,37
2020-04-11,37
2020-04-12,31
2020-04-13,36
2020-04-14,37
2020-04-15,63
2020-04-16,49
2020-04-17,34
2020-04-18,32
2020-04-19,35
2020-04-20,31
2020-04-21,37
2020-04-22,34
2020-04-23,35
2020-04-24,33
2020-04-25,32
2020-04-26,34
2020-04-27,34
2020-04-28,34
2020-04-29,33
2020-04-30,32
2020-05-01,30
2020-05-02,32
2020-05-03,32
2020-05-04,30
2020-05-05,32
2020-05-06,39
2020-05-07,33
2020-05-08,25
2020-05-09,28
2020-05-10,26
2020-05-11,27
2020-05-12,27
2020-05-13,26
2020-05-14,22
2020-05-15,23
2020-05-16,21
2020-05-17,23
2020-05-18,27
2020-05-19,24
2020-05-20,24
2020-05-21,19
2020-05-22,17
2020-05-23,18
2020-05-24,22
2020-05-25,20
2020-05-26,22
2020-05-27,19
2020-05-28,19
2020-05-29,17
2020-05-30,17
2020-05-31,17
2020-06-01,17
2020-06-02,16
2020-06-03,17
2020-06-04,21
2020-06-05,16
2020-06-06,14
2020-06-07,13
2020-06-08,16
2020-06-09,15
2020-06-10,17
2020-06-11,15
2020-06-12,19
2020-06-13,17
2020-06-14,14
2020-06-15,19
2020-06-16,26
2020-06-17,22
2020-06-18,21
2020-06-19,21
2020-06-20,21
2020-06-21,18
2020-06-22,18
2020-06-23,19
2020-06-24,19
2020-06-25,18
2020-06-26,17
2020-06-27,14
2020-06-28,14
2020-06-29,14
2020-06-30,17
2020-07-01,12
2020-07-02,14
2020-07-03,13
2020-07-04,12
2020-07-05,13
2020-07-06,13
2020-07-07,14
2020-07-08,14
