Kategorie: Alle Kategorien

Woche,corona: (Hamburg)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,3
2020-02-09,2
2020-02-16,1
2020-02-23,19
2020-03-01,23
2020-03-08,71
2020-03-15,100
2020-03-22,67
2020-03-29,54
2020-04-05,42
2020-04-12,43
2020-04-19,34
2020-04-26,31
2020-05-03,36
2020-05-10,30
2020-05-17,24
2020-05-24,22
2020-05-31,20
2020-06-07,18
2020-06-14,23
2020-06-21,22
2020-06-28,19
2020-07-05,17
2020-07-12,16
2020-07-19,18
2020-07-26,22
2020-08-02,22
2020-08-09,23
2020-08-16,23
2020-08-23,22
2020-08-30,17
2020-09-06,14
2020-09-13,17
2020-09-20,21
2020-09-27,21
2020-10-04,27
2020-10-11,39
2020-10-18,54
2020-10-25,53
2020-11-01,32
2020-11-08,27
2020-11-15,28
2020-11-22,28
2020-11-29,24
2020-12-06,34
2020-12-13,41
2020-12-20,32
2020-12-27,28
2021-01-03,36
2021-01-10,27
2021-01-17,36
2021-01-24,26
