Kategorie: Alle Kategorien

Tag,corona: (Hamburg)
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,<1
2020-01-05,0
2020-01-06,0
2020-01-07,<1
2020-01-08,0
2020-01-09,<1
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,0
2020-01-19,0
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,2
2020-01-30,3
2020-01-31,3
2020-02-01,2
2020-02-02,3
2020-02-03,3
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,4
2020-02-24,5
2020-02-25,9
2020-02-26,16
2020-02-27,19
2020-02-28,30
2020-02-29,21
2020-03-01,21
2020-03-02,20
2020-03-03,17
2020-03-04,18
2020-03-05,20
2020-03-06,18
2020-03-07,16
2020-03-08,20
2020-03-09,28
2020-03-10,37
2020-03-11,46
2020-03-12,75
2020-03-13,98
2020-03-14,91
2020-03-15,100
2020-03-16,89
2020-03-17,83
2020-03-18,75
2020-03-19,73
2020-03-20,71
2020-03-21,74
2020-03-22,79
2020-03-23,60
2020-03-24,53
2020-03-25,53
2020-03-26,49
2020-03-27,48
2020-03-28,51
2020-03-29,49
2020-03-30,50
2020-03-31,42
2020-04-01,42
2020-04-02,39
2020-04-03,39
2020-04-04,38
2020-04-05,38
2020-04-06,35
2020-04-07,35
2020-04-08,33
2020-04-09,33
2020-04-10,30
2020-04-11,32
2020-04-12,30
2020-04-13,32
2020-04-14,30
2020-04-15,50
2020-04-16,36
2020-04-17,34
2020-04-18,29
2020-04-19,31
2020-04-20,28
2020-04-21,28
2020-04-22,28
2020-04-23,26
2020-04-24,24
2020-04-25,26
2020-04-26,26
2020-04-27,26
2020-04-28,26
2020-04-29,25
2020-04-30,28
2020-05-01,24
2020-05-02,23
2020-05-03,23
2020-05-04,26
2020-05-05,28
2020-05-06,35
2020-05-07,31
2020-05-08,25
2020-05-09,25
2020-05-10,25
2020-05-11,26
2020-05-12,29
2020-05-13,23
2020-05-14,21
2020-05-15,20
2020-05-16,19
2020-05-17,20
2020-05-18,22
2020-05-19,19
2020-05-20,20
2020-05-21,19
2020-05-22,16
2020-05-23,19
2020-05-24,19
2020-05-25,19
2020-05-26,21
2020-05-27,18
2020-05-28,17
2020-05-29,17
2020-05-30,17
2020-05-31,15
2020-06-01,15
2020-06-02,18
2020-06-03,17
2020-06-04,17
2020-06-05,15
2020-06-06,15
2020-06-07,16
2020-06-08,17
2020-06-09,17
2020-06-10,16
2020-06-11,13
2020-06-12,14
2020-06-13,14
2020-06-14,16
2020-06-15,16
2020-06-16,24
2020-06-17,22
2020-06-18,18
2020-06-19,16
2020-06-20,18
2020-06-21,18
2020-06-22,19
2020-06-23,18
2020-06-24,18
2020-06-25,16
2020-06-26,16
2020-06-27,13
2020-06-28,15
2020-06-29,14
2020-06-30,18
2020-07-01,16
2020-07-02,13
2020-07-03,13
2020-07-04,14
2020-07-05,14
2020-07-06,13
2020-07-07,13
2020-07-08,14
